Artifact Name,Date,Culture/Region,Material,Dimensions,Category/Type,Object Number,Description,Artifact Image URL,Authenticity
Mask (Mukudj),19th–20th century,Punu peoples,"Wood, pigment, kaolin",H. 13 1/2 x W. 7 1/2 x D. 6 1/2 in. (34.3 x 19.1 x 16.5 cm),Wood-Sculpture,2000.177,"When works from Equatorial Africa in this refined style began to enter Western consciousness in the early twentieth century, they were a great enigma to art critics. Many speculated about the sources of their exotic aesthetic and even proposed possible Asian influence, though the art form was in fact indigenous to southern Gabon. Such masks were worn by virtuosic male performers of a stilt dance called ""mukudj,"" which involved towering impressively while executing complex choreography and astonishing feats of acrobatics.The creator of a ""mukudj"" mask would attempt to capture the likeness of the most beautiful woman in his community. The subject of this particular idealized and stylized portrait was embellished in classic nineteenth-century fashion with a coiffure composed of a central lobe and two lateral tresses and with cicatrization motifs on the forehead and temples. Kaolin taken from riverbeds, which was associated with healing and with a spiritual, ancestral realm of existence, was applied to the surface of the face. By using this material, the artist both celebrated the beauty of a mortal woman and transformed her into a transcendent being.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/318667/666928/restricted,Authentic
Couple,17th–late 18th century,Sakalava peoples,"Wood, pigment",H. 39 × W. 11 × D. 6 3/8 in. (99.1 × 27.9 × 16.2 cm),Wood-Sculpture,2001.408,"This Madagascar couple ranks as the foremost artistic achievement of a region where African and Pacific Island influences meet. It was created by a Sakalava artist in western Madagascar to grace the pinnacle of a ""hazomanga,"" a tall wooden monument set in a place of honor near the house of a clan elder. It constituted the focal point for prayers, sacrifices, and boys' circumcision ceremonies. Measuring around six feet in height, the hazomanga was a striking element of the architectural landscape and a potent reminder of kinship, both past and present.Set side by side, these figures engage the viewer with their intense expressions and deeply recessed eyes. Their subtle stylization simultaneously unifies them and amplifies what makes them different, producing an eloquent statement on the fundamental complementarity of man and woman. As the centerpiece of circumcision rights performed to promote the virility of each generation, the couple emphasizes the importance of the male-female partnership in assuring the community's future. The figures' nudity, striking in a region where textiles are a fundamental element of identity, serves to further underscore these timeless and universal themes of fertility and regeneration.The work's quiet power and lyrically balanced symmetry helped it to become one of the rare examples of southeast African sculpture to have influenced Western art. Known in Paris by the early twentieth century, it entered the collection of the British sculptor Sir Jacob Epstein about 1922–23.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/318764/666935/main-image,Authentic
Lidded Vessel,19th century,North Nguni peoples,Wood,H. 24 13/16 × W. 17 × W. 17 in. (63 × 43.2 × 43.2 cm),Wood-Containers,"2013.165a, b","This four-legged vessel, carved from a single piece of wood with a separate cover, can be considered an Nguni master sculptor’s tour de force, primarily intended to dazzle and delight the viewer as a triumphant feat of woodcarving. The ovoid form of the container itself is supported by—and appears to float within—a pedestal superstructure with four square legs that has an anthropomorphic quality. The cover, surmounted by a large, rounded handle with knobs of wood at either side, completes the central oval form. The surface of both the vessel and cover has been filled with deeply incised lines of rounded and soft marks that run in close parallel lines, following the overall shape of the vessel. These lines of surface decoration are arranged into blocks that visually juxtapose verticals and horizontals, and they may be intended to emulate the appearance of woven fabric. The direction of the lines on the inner container are also mirrored on the outer support, increasing the sense of dimensionality. This dramatic decorative surface program is a distinctive characteristic of the works in this school of Nguni sculpture.The vessel is one of the largest and most significant in a defined corpus of related sculptures that have been attributed to a number of Zulu-speaking carvers, active in the mid-nineteenth century in the vicinity of the former British colony of Natal, in present day Kwa-Zulu Natal, South Africa (Catherine Elliot, personal correspondence, 11/04/18). The headrest (2018.356) is also considered part of this group. These craftspeople were regionally renowned for their skill in wood carving, and the sculptor responsible for this work would have produced carvings both for a local elite, such as the Zulu King Mpande kaSenzangakhona (r.1840–1872), and for a European clientele, an increasing presence at Port Natal from the 1820s onwards. Major works of sculpture by this group were first exhibited in Europe at world fairs such as the International Exhibition, held in London in 1862, which intended to showcase the fine arts of all nations following the example of the Great Exhibition of 1851. Here, a number of Nguni sculptures were showcased in the ‘Natal Court’ (Elliott, Cartwright and Kevin, 2013: 18).A contemporaneous inventory of the works on show was compiled by Dr. Robert James Mann (1817–1886). While Mann did not record the names of most of the sculptors, he did attribute an exceptional group of carved wooden objects to “a renowned artisan, named Unobadula” (Mann, 1862 [1]: 18). Works by this artist included a chair “carved out of one block of wood”, a headrest, and “three pots”. Two of these pots were described as having “pedestals” or supportive superstructures—much like this example—and are currently housed in the British Museum (Af.4876 and Af.4875). A photograph taken by Mann of “the wood-carver Unobadula” shows him holding what appears to be a double tiered vessel mounted on a pedestal with a surface of parallel lines (Elliot, Cartwright and Kevin, 2013: fig.5).About twelve large-scale covered vessels have been recorded in various museum collections. Alongside the examples in the British Museum, the Musée Quai Branly in Paris, the Cleveland Museum of Art, and the Natural History Museum in Lille all have important examples. In South Africa, the Brenthurst Collection at the Johannesburg Art Gallery features three important examples. It is unclear what they were used for. Early texts state that they were variously used for beer, known as “rhewu”, and also for milk and butter. According to Mann’s 1862 inventory: “Great potentates…have their beer brought to them in Wooden Pots.” He notes that because of the scale of the vessel, the drinker may have needed to have it lifted on his behalf (Mann cited in Elliot, Cartwright and Kevin, 2013: 19). Such vessels may also have functioned as large-scale tobacco or snuff containers, their monumental scale intended to impress visitors at court, where they might have been reserved for ceremonial occasions alone (Nettleton: 1996). The existence of a spoon with the example in Lille has been taken as an indication that these vessels may originally have been used for culinary purposes, such as containers for porridge.Analysis of the interior surfaces of the wood, however, has found no residue of substances that the vessel might once have contained (Ellen Howe, personal communication, 08/04/13). Indeed, very few traces of wear or usage exist across the whole corpus (Klopper, personal communication with Alisa LaGamma, 04/08/13). This lack of evident use indicates that the vessel may always have been intended as a stand-alone work of art rather than a functional container. These were either used by local potentates as prestige items, or exhibited at international exhibitions.James Green, Ph.D.The Sylvan C. Coleman and Pam Coleman Memorial Fund Fellow, 2017–2018Further ReadingAngas, George French. 1849. The kafirs illustrated in a series of drawings taken among the amaZulu, amaPondo and amaKosa tribes ; also, Portraits of the Hottentot, Malay, Fingo and other races inhabiting Southern Africa ; together with Sketches of landscape scenery in the Zulu country, Natal and the Cape colony. London: Hogarth Press.Elliott, Catherine, Caroline Cartright and Philip Kevin, ‘Maker, material and method: reinstating an indigenously made chair from Kwa-Zulu Natal, South Africa’ Technical Research Bulletin, British Museum, Vol. 7, 2013: 15 – 30. (http://www.britishmuseum.org/pdf/BMTRB_7_Elliott_Cartwright_and_Kevin.pdf)Elliott Weinberg, Catherine ‘The Name of Zulu is Now Given’: Provenancing Objects from Colonial Natal in the British Museum’s Christy Collection’ in Leibhammer, Nessa, and Carolyn Hamilton. 2016. Tribing and untribing the archive identity and the material record in Southern KwaZulu-Natal in the late independent and colonial periods Voume 2, pp. 475 – 502.Mann, Robert James 1862. A descriptive catalogue of the Natal contribution to the International Exhibition of 1862.Nettleton, Anitra ‘Lidded Vessel’, in Musée du quai Branly, Yves Le Fur, David Radinowicz, Susan Schneider, and Sarah Kane. 2009. Musée du quai Branly: the collection: art from Africa, Asia, Oceania, and the Americas. Paris: Flammarion, 102.Nettleton, Anitra C. E. 1991. ""Tradition, authenticity and tourist sculpture in 19th and 20th century South Africa"". Art and Ambiguity: Perspectives on the Brenthurst Collection of Southern African Art. 32-47.Nettleton, Anitra 2008. African Dream Machines: Style, Identity and Meaning of African Headrests. Johannesburg: Wits University Press.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/321330/1357090/main-image,Authentic
Sachihongo Mask,19th–early 20th century,Mbunda peoples,"Wood, pigment(?)",H. 17 × W. 12 × D. 10 in. (43.2 × 30.5 × 25.4 cm),Wood,2016.106,"Mbunda-styleSachihongomasks are characterized by their round shape, proportionally exaggerated features, and prominent brow ridge and cheeks. All the examples that survive date from no earlier than the late nineteenth through twentieth centuries and most have been entirely stripped of their costume elements. The sculptors responsible for these works were heavily influenced by neighboring Chokwe artists renowned for their play back and forth between realistic and bombastic exaggeration of different elements of the human physiognomy. This exceptional example is striking for its scale and the dramatic graphic emphasis given to the articulation of essential facial features. At the mid-point horizontal semi-circular voids denote the ocular apertures. These are emphatically framed by a series of concentric linear arcs. A series of three successive curves extend from the bridge of the nose to the temples defining the brows directly below a convex volumetric forehead. Directly below either eye successive arcs define pouches under each of these and the cheekbones. Centrally positioned is the raised ridge of the nose with flaring nostrils above a projecting rectilinear mouth. The open mouth features an upper row of individually defined teeth and a lower row that is less articulated.An array ofmakishimasquerades are performed at the end of initiation rites for young boys, ormukanda, celebrated by the Vaka Chiyama Cha Mukwamayi community of the Luvale, Chokwe, Luchazi and Mbunda peoples of Zambia. During a period of seclusion adolescent boys undergo circumcision and are instructed in qualities they are expected to take on as adult men. This mask form, known asSachihongo, is the only wood variety featured at the culmination of the celebration when the youth are brought back to the community. Although the practice was likely established far earlier, masked dances of the Mbunda were recorded by European observers beginning in the 1870s. In 2005 this performative tradition was added to the UNESCO list of Intangible Cultural Heritage.Sachihongomost commonly represents the spirit of a cultural archetype — an ancestral hunter armed with a bow. The elevated status of the subject is such that it may also be addressed as an ancestral chief or diviner. A male dancer would have worn the mask along with a knit fiber costume, a skirt of palm leaves, and other accessories, including anklets. Equipped with a bow and arrow, and carrying a flywhisk or ceremonial axe,Sachihongodances to a rapid tempo.Alisa LaGamma, 2016",https://collectionapi.metmuseum.org/api/collection/v1/iiif/698689/1548537/restricted,Authentic
Throne of Njouteu: Royal Couple,Late 19th–early 20th century,"Bamileke peoples, Chiefdom of Bansoa","Wood, glass beads, cloth, cowrie shells",H. 64 × W. 29 1/4 × D. 26 1/2 in. (162.6 × 74.3 × 67.3 cm),Wood-Sculpture,2014.256,"This seat of office was created for a leader in the Grassfields region of western Cameroon. This densely populated region was a prosperous nexus of trade that gave rise to a proliferation of principalities. The powerful rulers of these wealthy city-states, who were responsible for the well-being of their people, became major patrons of the arts. They commissioned lavish palace complexes with sculptural programs, regalia for themselves and members of their courts, masquerades performed at civic celebrations, and, most important, the seat of office identified with their reign.This throne served as the visual focus of rites establishing the legitimate transfer of power as well as continuity in leadership. It was documented in Bansoa in 1957 by the French researcher Pierre Harter, who recorded the name of the late nineteenth-century ruler credited with its creation: Njouteu. The sculpture of a king and his consort standing at the back of a circular seat supported by a leopard was carved from a single piece of wood wrapped in a fine layer of locally woven fabric. Upon this three-dimensional canvas, a master beader applied thousands of glass beads—a luxury good created in Venice and Prague for export to this region of West Africa. The emphatic use of blue underscores the elite status of the subjects, who hold insignia of leadership: a buffalo- horn drinking vessel and a calabash receptacle for palm-wine offerings.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/635680/1338157/restricted,Authentic
Crest (Tsesah),18th century,Bamileke peoples,Wood,H. 37 × W. 32 1/2 × D. 11 1/2 in. (94 × 82.6 × 29.2 cm),Wood-Sculpture,2017.35,"This majestic creation is at once massive and ethereal. A two-dimensional forehead soars above compressed volumetric features. The penetrating, boldly outlined eyes gaze heavenward. The geometric motifs that were densely inscribed across the upper part have been heavily eroded and only deep grooves are evident now. This work may have been a prototype for the extanttsesahcorpus due to its age, scale, and fluid design. The extensive native repairs testify to its long life as an avatar of Bamileke royal power. Once it became too fragile to be used, a replacement example was carved and the decommissioned crest remained stored within its community.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/735917/2212258/main-image,Authentic
Male Figure: Court Official,16th–17th century,Edo peoples,Brass,H. 24 3/4 in. × W. 7 1/8 in. × D. 7 in. (62.9 × 18.1 × 17.8 cm),Metal-Sculpture,1991.17.32,"Scholars have suggested that this figure was placed upon a commemorative altar dedicated to a king, or ""oba,"" of Benin. The figure is depicted wearing a distinctive cross pendant. His wrap skirt is adorned with profile heads of Portuguese traders, a frontal African head, and other common Benin motifs such as river leaves, mudfish, and interlace patterns.Three different identities have been proposed for this figure. The official may be a messenger from a ruler referred to as the ""Ogane,"" who today is identified as the leader, or ""oni,"" of Ife. The present Benin dynasty claims descent from the Yoruba kingdom of Ife. According to a sixteenth-century Portuguese text, each new ""oba,"" or king, of Benin had to be confirmed by the ""Ogane,"" whose messenger presented the ""oba"" with a brass hat, staff, and cross necklace. Another interpretation suggests that he may represent a priest of Osanobua, the Benin creator god, who also wears a cross. Finally, the figure may depict a member of ""Ewua,"" a group of palace officials who wake the ""oba"" each morning and perform a ceremony recalling the origin of the Benin dynasty.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/316503/666923/main-image,Authentic
Sculptural Bust from a Reliquary Ensemble (The Great Bieri),19th century,Fang-Betsi,"Wood, copper alloy, palm oil",H. 18 5/16 x W. 9 3/4 x D. 6 5/8 in. (46.5 x 24.8 x 16.8 cm),Wood-Sculpture,1979.206.229,"In Fang society, figurative sculptures produced for the ancestor cult, or ""Bieri,"" were designed to complement reliquary containers. Such works were generalized ancestral representations which were memorialized and addressed in times of need through relics preserved in the attached container. This sculptural creation distills the representation of a larger-than-life ancestral presence to a head with a penetrating gaze. It was originally placed at the summit of a portable family altar that held precious relics of at least nine generations of an extended lineage. While the relics were accessible to only initiated family members, the sculptural element visually summarized the importance of the contents. The black of the wood was enlivened with applications of palm oil that preserved the sculpture and enhanced the play of light on the surface. Historically, Fang sculptors created free-standing heads, half-figures, and full-figures to be integrated intobierialtar ensembles.In 1962, reflecting upon the significance of this work, art historian Robert Goldwater observed, ""For every style and every period, in the history of the arts of mankind, a few works stand out above the rest. Somehow they both contain and surpass all these qualities which we value in the art of the culture from which they come. They seem to have captured the ideal of design and expression toward which many artists tended…The Great Bieriis such a work: it is the embodiment of Fang sculpture, and one of the great classics of African art.""This majestic work is among the most frequently reproduced works of African art. Its impact derives from its bold hierarchic presence, which has been rendered on a monumental scale. WhileThe Great Bieriis the largest of the known Fang heads, it is also the most formally succinct and pared down. Its author has masterfully distilled the genre to its essential elements through gently equilibrated curved lines. So that the astonishing breadth of the domed forehead does not overpower the narrow eroded chin, a band of hair extends at either side of the head. These vertical extensions are broadened and enlivened at successive intervals by the added features of the inverted C-shaped ears and two cylindrical rolls. A third, broader tress falls from the crown of the head down the back. The penetrating omniscient gaze is directed outward from the circular metallic disks of the eyes, framed by lightly incised curved brows; the vertical nose is squared at the base. On the inky black surface of the face, there are highlighted passages of oil residue. On the reverse side, areas of the patina have worn away to expose the underlying rich red-brown wood. The abrasion and wear at the base of the face, across the mouth and chin, occurred through ritual handling. A vertical split reaches from the summit to the chin.This icon has been a muse to artists both in the West and beyond since the early twentieth century. The first person to whom its ownership has been attributed was the Chilean poet and founder of theCreacionismomovement, Vicente Huidobro. In 1916 Huidobro settled in Paris, where he established contacts with such members of the avant-garde as the artists Pablo Picasso, Juan Gris, Francis Picabia, and Jacques Lipchitz and the writers Blaise Cendrars and Guillaume Apollinaire. He appears to have acquired this work shortly after his arrival in Paris and in 1918 was inspired to write the poemEcuatorial, dedicated to Picasso, which reflected this embrace of Cubism in poetic expression – and specifically of this work from equatorial Africa as his muse. Like his counterparts in the visual arts, Huidobro did not refer overtly to the imagery of the African sculptures he collected, but rather identified powerfully with what he saw as their ideal blending of representation and abstraction.Huidobro subsequently relinquished this epic creation to French art dealer Paul Guillaume, who in turn sold it to British-American artist Jacob Epstein by the late 1920s. Epstein recalls his earliest encounter with Guillaume: ""When I was in Paris in 1912, I saw an advertisement in a colonial paper asking for African carvings in hard wood. Calling at the address in Montmartre I met Paul Guillaume for the first time, in a small attic room. He started the vogue in African work."" Epstein’s collection was sold after his death in August 1959. Before its dispersal at auction, Goldwater acquired in 1961 four of the works for the Museum of Primitive Art in New York – a privately owned museum whose holdings were later transferred to the Metropolitan Museum of Art and founded the Department of the Arts of Africa, Oceania, and the Americas.The Great Bieri’s formal qualities evoke one of Epstein’s statements concerning the eloquence of African sculpture: ""In much of the work there is real anatomic truth to be found, extremely simplified, and often expressed architecturally."" Epstein further comments on the keen powers of observation manifested in the heads carved by Fang masters: ""These heads are realistic works, obviously the result of a very minute study of nature. You can see the well-developed bony structure of the forehead, the sunken eyes, protruding jawbone and the flesh around the mouth and nose shrinking, as if to crumble away. They are burial symbols.""Further readingLaGamma, Alisa Ed. 2007Eternal Ancestors: The Art of the Central African Reliquary.New York: The Metropolitan Museum of Art; New Haven and London: Yale University Press.Perrois, Louis.Fang. Visions d’Afrique. Milan: 5 Continents, 2006Exhibition history""La grande peinture contemporaine à la collection Paul Guillaume."" Bernheim-Jeune, Paris. May 25-June 27, 1929""Primitive African Sculpture."" Lefevre Galleries, London. May, 1933""African Negro Art."" The Museum of Modern Art, New York. 1935""Arte in Africa."" Centro di Studi di Storia delle Arti Africane, Florence. March 15-18, 1984""'Primivitism' in 20th Century Art: Affinity of the Tribal and the Modern."" The Museum of Modern Art, New York; Detroit Institute of Arts, Detroit; Dallas Museum of Art, Dallas. 1984""La Grande Scultura dell'Africa Nera."" Forte di Belvedere, Florence. July 15-October 29, 1989""Perfect Documents: Walker Evans and African Art, 1935."" Metropolitan Museum of Art. February 1-September 3, 2000""Arts d'Afrique."" Musée Dapper, Paris. November 30, 2000-June 30, 2001""Eternal Ancestors: the Art of the Central African Reliquary."" Metropolitan Museum of Art. October 2, 2007-March 2, 2008",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312429/665441/main-image,Authentic
Headdress,19th–20th century,Ejagham peoples,"Wood, untanned animal skin, cane, metal (iron alloy), pigment",H. 11 in. × W. 6 1/2 in. × D. 8 in. (27.9 × 16.5 × 20.3 cm),Wood-Sculpture,1979.206.266,"Headdresses covered in leather, like this elegant depiction of a beautiful young woman with an elaborate coiffure and a white face, are created in the region along the Cross River in Nigeria and Cameroon. This particular example was made by the Ejagham peoples and is characteristic of a genre popular across the region. Some are startlingly naturalistic and may be portraits of known individuals; others are highly stylized. There are three overall types: helmet masks that cover the wearer's head entirely, masks that cover only the face, and headdresses that, like this one, are attached to basketry caps worn on top of the head.These exceptional works were owned by societies formed to provide their members entertainment and mutual assistance. Headdresses were named after and allied with the association for which they were commissioned. Members of associations are men or women of the same generation, and membership is often further restricted to those who have performed certain feats or are proficient in particular skills. In the past, for example, there were associations of hunters who had killed leopards or other dangerous animals. These societies might be further stratified into successive levels for which advancement was contingent on the paying of a certain fee.Headdresses were worn for both festive and important ceremonial occasions. Deaths of high-ranking society members would be marked by elaborate commemorative funerals at which the headdresses would be worn by an accomplished dancer dressed in a full length gown, adorned with the society's important paraphernalia, and accompanied by specific musical instruments.To make a headdress, the artist carves the form from a single piece of wood and covers it with soft untanned antelope skin that has been soaked in water for several days. He stretches, binds, and pegs the skin into place until it dries and stiffens. Eyes, scarifications, and hair are often carved separately and pegged into the finished piece. Before it is worn, the headdress is painted or colored, then adorned with porcupine quills, feathers, or feathered rods stuck into holes at the top.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312460/666924/restricted,Authentic
Figure from a Reliquary Ensemble: Seated Female,19th–early 20th century,"Fang peoples, Okak group","Wood, metal",H. 25 3/16 x W. 7 7/8 x D. 6 1/2 in. (64 x 20 x 16.5 cm),Wood-Sculpture,1978.412.441,"The Fang peoples derive a sense of continuity with their past as well as a communal cohesiveness in the present through an ancestral cult known as bieri. Bieri reliquary figures, such as this 19th century example, embody the qualities that the Fang admire most in people—namely, tranquility, vitality, and the ability to hold opposites in balance. Such wooden figures and heads are placed on top of bark containers that hold the precious relics of important clan ancestors. The carved head or figure mounted on top of the reliquary box guards the sacred contents against the forbidden gaze of women and uninitiated boys. Before being removed from Africa, such works were invariably separated from the relic containers that they originally enhanced.This formidable female figure personifies controlled exuberance. Despite her contemplative expression, her being exudes vitality and boundless physical dynamism. The eyes are defined as deeply incised pupils within expansive recesses. These concave passages are echoed in the round at the summit of the forehead by the bold globular projections of the coiffure elements. This regal and original arrangement of hair is highly detailed. Several contiguous crests extend across the crown of the head and are gathered in a single vertical tress at the nape of the neck.The Fang sculptor, who lucidly articulated this figure as a series of discrete component elements, integrated them masterfully into a seamless form to stunning effect. The pronounced ovoid volume of the head is abruptly juxtaposed with the broad columnar neck. At the outer corner of each eye a deep arc extends to the bridge of the nose. The nostrils are slightly flared, and the open mouth is cast as a broad oval. Especially alluring is the effect of the shimmering highlights that glance off the luminous midnight black wood, which is thoroughly saturated with oil. Another arresting visual accent is provided by the pendent oval breasts. These do not appear as sensuous elements but rather as overt attributes of power. Their formal definition complements the muscular curves of the physiognomy, so that they are echoed in the successively larger cylindrical units of the shoulders, upper arms, and fore-arms. The arms are bent at the elbows, hands held in front of the body in a pose suggesting arrested animation.Positioned as freestanding with slightly flexed knees, the figure appears to shift her weight slightly to the proper right side. The fact that she was originally conceived as seated is apparent from the extreme abbreviation of the powerful thighs, when seen frontally, in contrast to the full forms of the elongated calves. On the reverse side the vertical channel of the spine extends the length of the back and intersects with the horizontal passage of the buttocks. The original patrons sought to repair a break to the proper left shoulder b affixing horizontal metal bands with five nails to the front and reverse side. Two brass rings appear around the neck as well as one around the proper left wrist and each ankle.This work was owned successively by two members of the Western avant-garde, André Derain and Jacob Epstein. According to legend, Derain acquired his first work of African sculpture, a Fang mask, from his friend and close associated Maurice de Vlaminck. Around that time, he went to London and studied the ethnographic collections of the British Museum. That transforming experience led him to write Vlaminck of the ""amazing, disquieting"" impact of the works he encountered. Art historian Jack Flam has noted that despite this emotional response to African sculpture, Derain strove to grasp the key to its inherent formal logic.Flam has proposed that Vlaminck was principally drawn to and identified with African art’s instinctive expressive qualities. He has further noted that, although Vlaminck did not extensively appropriate the formal qualities of such works in his own painting, he was eager to establish his own seminal role in the avant-garde’s ""discovery"" of African art. By Vlaminck’s account, the experience that ignited his own interest occurred in a bistro in Argenteuil, while taking a break from painting outdoors. Three African artifacts on a shelf behind the bar caught his attention, and he acquired them in exchange for buying the house a round of drinks. Shortly afterwards, a friend of his father gave him three more works. Among these was a Fang mask that he hung in his bedroom. Upon seeing the mask, Derain asked to buy it from him, but Vlaminck initially refused. A few weeks later, in need of money, he relented and it entered Derain’s collection. According to Flam, these events, which may have occurred between 1903 and 1905, became the most frequently related narrative of the discovery of ""primitive art.""Vlaminck’s insistence on his role in instilling in his contemporaries, such as Matisse and Picasso, an awareness of African art’s aesthetic qualities is underscored in another account he disseminated. According to a version related by his biographer Francis Carco, Vlaminck showed an African sculpture to Derain and said that he found it to be ""almost as beautiful as the Venus de Milo."" Derain responded that it was in fact ""as beautiful as the Venus de Milo."" The two then showed it to Picasso, who reputedly deemed it ""more beautiful than the Venus de Milo.""Alisa LaGammaFurther ReadingLaGamma, Alisa, ed.Eternal Ancestors: The Art of the Central African Reliquary. New York: The Metropolitan Museum of Art, 2007.Perrois, Louis.Fang. Milan: 5 Continents, 2006.Exhibition History""Exposition d'art Africain, d'art Océanien."" Galerie Pigalle, Paris, 1930.""The Epstein Collection of Tribal and Exotic Sculpture."" Arts Council of Great Britain, London. 1960.""Exhibition No. 22,"" The Museum of Primitive Art, New York, April 18 – July 1, 1962.""First World Festival of Negro Arts."" Dakar, Senegal, April 1-4, 1966.""First World Festival of Negro Arts."" Grand Palais, Paris, June 1-August 20, 1966.""Art of Oceania, Africa and the Americas from the Museum of Primitive Art."" The Metropolitan Museum of Art, New York. May 10-September 1, 1969.""Masterpieces of Fifty Centuries."" The Metropolitan Museum of Art, New York, November 10, 1970-June 1, 1971.""'Primivitism’ in 20th Century Art: Affinities of the Tribal and the Modern."" The Museum of Modern Art, New York; Detroit Institute of Arts, Detroit; Dallas Museum of Art, Dallas. 1984.""La Grande Scultura dell'Africa Nera."" Forte di Belvedere, Florence, July 15-October 29, 1989.""Eternal Ancestors: The Art of the Central African Reliquary."" The Metropolitan Museum of Art, New York. October 2, 2007-March 2, 2008.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/310870/666926/main-image,Authentic
Helmet Mask,before 1880,Bamum kingdom,"Wood, copper, glass beads, raffia, cowrie shells",H. 26 x W. 14 x D. 10 3/4 in. (66 x 35.6 x 27.3 cm),Beads-Sculpture,1978.412.560,"In the socially and politically stratified polities of the Grassfields Kingdoms of Cameroon, the display and ownership of masks are important indicators of privilege and prestige.""Kwifoyn"", a regulatory society whose members derive their authority from the Fon, or king, oversees all levels of criminal justice and functions as an executive branch of government. ""Kwifoyn"" is organized into ranked lodges; membership requires the payment of prescribed fees commensurate with each lodge's relative status. Among the privileges of membership is patronage of mask forms in celebrations performed in honor of its members. ""Kwifoyn"" also controls the right to license the replication of mask forms to lineage groups willing to pay a fee.Masks distinguished by the application of beads, cowrie shells, or brass sheathing are the prerogative of the Fon and function under the joint authority of the palace and regulatory society. This mask, which bears a rich accumulation of these costly and prestigious materials, also depicts the symbolically potent imagery of a stylized spider, associated with wisdom, in the headdress.Distinguished individuals are honored by the appearance of masks such as this one at funerals and related events. Surrounding the burial and commemoration of titleholders, these celebrations provide occasions for the masks to emerge from their guarded storerooms and to be danced before the entire population. Another occasion for the public display of masks and other prestige arts is a palace-sponsored festivity known as ""Nja"", the Fon's dance. This annual celebration coincides with the conclusion of the main harvest in late December or early January.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/311021/2123247/main-image,Authentic
Beete Mask: Ram (Bata),19th–20th century,Kwele peoples,"Wood, pigment, kaolin",H. 20 3/4 x W. 15 x D. 4 in. (52.7 x 38.1 x 10.2 cm),Wood-Sculpture,1979.206.8,"This ram, or ""bata,"" mask is an example of the boldly designed reductive stylization of a highly inventive Kwele sculptor. The slitted almond-shaped eyes are set in a concave diamond face within a recessed heart-shaped frame. The face is whitened with kaolin and framed by the curved arcs of a pair of animal horns that emerge from the crown of the head and meet at the base of the chin. Working with a seemingly flat representation, the artist has skillfully drawn upon the use of alternating negative and positive spaces and faceted surfaces.Known as ""ekuk"" or ""things of the forest"" this genre of mask act as intermediaries between the forest and the village. Additionally, the gentle curving horns of the ""bata"" mask are understood to be a metaphor for the cosmic unification of those two realms. Though their dance is characterized as human, ""ekuk"" have fantastical attributes: trunks, beaks, or horns. Often painted white, a color the Kwele associate with light and clarity the ""ekuk"" are portrayed as possessing the clairvoyance necessary to fight witchcraft.In Kwele villages rituals known as ""beete"" are enacted at times of crisis in order to mobilize the powers of the ancestors. The skulls of important deceased family members are preserved to combat the negative forces that threatened to destroy a community with famine, disease, or war. ""Beete"" is a multiple-day festivity, which culminates in the communal consumption of a medicinal stew, which has been activated by the ""heat"" of the dancing and singing of the ""ekuk"" masks and villagers.",https://collectionapi.metmuseum.org/api/collection/v1/iiif/312180/666929/restricted,Authentic
